entry,name,requiredlevel,ilvl
5854,Silithid Talon,0,1
5855,Silithid Heart,0,1
5856,Monster - Throwing Axe,1,1
5857,Gnome Prize Box,0,1
5858,Goblin Prize Box,0,1
5859,Party Grenade,0,1
5860,Legacy of the Aspects,0,1
5861,Beginnings of the Undead Threat,0,1
5862,Seaforium Booster,0,1
5863,Guild Charter,0,0
5864,Gray Ram,30,30
5865,Modified Seaforium Booster,0,1
5866,Sample of Indurium Ore,0,1
5867,Etched Phial,0,1
5868,Filled Etched Phial,0,1
5869,Cloven Hoof,0,1
5870,Monster - Throwing Spear,1,1
5871,Large Hoof,0,1
5872,Brown Ram,30,30
5873,White Ram,30,30
5874,Harness: Black Ram,30,30
5875,Harness: Blue Ram,30,30
5876,Blueleaf Tuber,0,1
5877,Cracked Silithid Carapace,28,28
5878,Super Snuff,0,1
5879,Twilight Pendant,0,1
5880,Crate With Holes,0,1
5881,Head of Kelris,0,1
5882,Captain's Documents,0,1
5883,Forked Mudrock Tongue,0,1
5884,Unpopped Darkmist Eye,0,1
5896,Theramore Guard Medallion UNUSED,0,1
5897,Snufflenose Owner's Manual,0,1
5916,Gnome Camera Key,0,1
5917,Spy's Report,0,1
5918,Defiant Orc Head,0,1
5919,Blackened Iron Shield,0,1
5936,Animal Skin Belt,0,8
5937,Goblin Camera Key,0,1
5938,Pristine Crawler Leg,0,1
5939,Sewing Gloves,0,8
5940,Bone Buckler,0,12
5941,Brass Scale Pants,0,11
5942,Jeweled Pendant,0,1
5943,Rift Bracers,20,25
5944,Greaves of the People's Militia,0,15
5945,Deadmire's Tooth,0,1
5946,Sealed Note to Elling,0,1
5947,Defias Docket,0,1
5948,Letter to Jorgen,0,1
5949,Scrap of Paper,0,1
5950,Reethe's Badge,0,1
5951,Moist Towelette,0,30
5952,Corrupted Brain Stem,0,1
5953,TEST SWORD,0,60
5954,TEST SWORD 2,0,60
5956,Blacksmith Hammer,1,1
5957,Handstitched Leather Vest,3,8
5958,Fine Leather Pants,16,21
5959,Acidic Venom Sac,0,1
5960,Sealed Note to Watcher Backus,0,1
5961,Dark Leather Pants,18,23
5962,Guardian Pants,27,32
5963,Barbaric Leggings,29,34
5964,Barbaric Shoulders,30,35
5965,Guardian Cloak,32,37
5966,Guardian Gloves,33,38
5967,Girdle of Nobility,13,18
5968,Rugged Boots,10,15
5969,Regent's Cloak,18,23
5970,Serpent Gloves,18,23
5971,Feathered Cape,21,26
5972,Pattern: Fine Leather Pants,0,21
5973,Pattern: Barbaric Leggings,0,34
5974,Pattern: Guardian Cloak,0,37
5975,Ruffian Belt,18,23
5976,Guild Tabard,0,1
5996,Elixir of Water Breathing,8,18
5997,Elixir of Minor Defense,1,5
5998,Stormpike's Request,0,1
6016,Wolf Heart Sample,0,1
6036,Rogue Test Dagger,34,39
6037,Truesilver Bar,0,50
6038,Giant Clam Scorcho,25,35
6039,Recipe: Giant Clam Scorcho,0,35
6040,Golden Scale Bracers,32,37
6041,Steel Weapon Chain,0,38
6042,Iron Shield Spike,0,30
6043,Iron Counterweight,0,33
6044,Plans: Iron Shield Spike,0,30
6045,Plans: Iron Counterweight,0,33
6046,Plans: Steel Weapon Chain,0,38
6047,Plans: Golden Scale Coif,0,38
6048,Shadow Protection Potion,17,27
6049,Fire Protection Potion,23,33
6050,Frost Protection Potion,28,38
6051,Holy Protection Potion,10,20
6052,Nature Protection Potion,28,38
6053,Recipe: Holy Protection Potion,0,20
6054,Recipe: Shadow Protection Potion,0,27
6055,Recipe: Fire Protection Potion,0,33
6056,Recipe: Frost Protection Potion,0,38
6057,Recipe: Nature Protection Potion,0,38
6058,Blackened Leather Belt,0,5
6059,Nomadic Vest,0,5
6060,Flax Bracers,0,5
6061,Graystone Bracers,0,8
6062,Heavy Cord Bracers,0,10
6063,Cold Steel Gauntlets,0,8
6064,Miniature Platinum Discs,0,1
6065,Khadgar's Essays on Dimensional Convergence,0,1
6066,Khan Dez'hepah's Head,0,1
6067,Centaur Ear,0,1
6068,Recipe: Shadow Oil,0,33
6069,Crudely Dried Meat,0,1
6070,Wolfskin Bracers,0,5
6071,Draenethyst Crystal,0,1
6072,Khan Jehn's Head,0,1
6073,Khan Shaka's Head,0,1
6074,War Horn Mouthpiece,0,1
6075,Vimes's Report,0,1
6076,Tapered Pants,0,5
6077,Maraudine Key Fragment,0,1
6078,Pikeman Shield,0,5
6079,Crude Charm,0,1
6080,Shadow Panther Heart,0,1
6081,Mire Lord Fungus,0,1
6082,Green Whelp Blood,0,1
6083,Broken Tears,0,1
6084,Stormwind Guard Leggings,0,13
6085,Footman Tunic,0,13
6086,Faustin's Truth Serum,0,1
6087,Chausses of Westfall,0,24
6088,Monster - Torch, Ranged,1,1
6089,Zraedus's Brew,0,1
6091,Crate of Power Stones,0,1
6092,Black Whelp Boots,0,18
6093,Orc Crusher,0,27
6094,Piercing Axe,0,18
6095,Wandering Boots,0,24
6096,Apprentice's Shirt,0,1
6097,Acolyte's Shirt,0,1
6098,Neophyte's Robe,1,1
6116,Apprentice's Robe,1,1
6121,Recruit's Pants,1,1
6123,Novice's Robe,1,1
6124,Novice's Pants,1,1
6125,Brawler's Harness,0,1
6126,Trapper's Pants,1,1
6127,Trapper's Boots,0,1
6130,Trapper's Shirt,0,1
6131,Trapper's Pants,1,1
6132,Libram: Seal of Wisdom,12,12
6133,Libram: Seal of Fury,14,14
6136,Thug Shirt,0,1
6144,Neophyte's Robe,1,1
6145,Clarice's Pendant,0,1
6146,Sundried Driftwood,0,1
6147,Ratty Old Belt,5,10
6148,Web-covered Boots,5,10
6149,Greater Mana Potion,31,41
6150,A Frayed Knot,0,1
6166,Coyote Jawbone,0,1
6167,Neeka's Report,0,1
6168,Sawtooth Snapper Claw,0,1
6169,Unprepared Sawtooth Flank,0,1
6170,Wizards' Reagents,0,1
6171,Wolf Handler Gloves,0,5
6172,Lost Supplies,30,30
6173,Snow Boots,0,5
6174,Twain Random Sword,15,20
6175,Atal'ai Artifact,0,1
6176,Dwarven Kite Shield,0,5
6177,Ironwrought Bracers,0,12
6178,Shipment to Nethergarde,0,1
6179,Privateer's Cape,14,19
6180,Slarkskin,10,15
6181,Fetish of Hakkar,0,1
6182,Dim Torch,5,10
6183,Unlit Poor Torch,0,10
6184,Monstrous Crawler Leg,0,1
6185,Bear Shawl,0,5
6186,Trogg Slicer,0,18
6187,Dwarven Defender,0,17
6188,Mud Stompers,0,15
6189,Durable Chain Shoulders,0,24
6190,Draenethyst Shard,0,1
6191,Kimbra Boots,0,23
6192,Khan Hratha's Head,0,1
6193,Bundle of Atal'ai Artifacts,0,1
6194,Barreling Reaper,0,32
6195,Wax-polished Armor,10,15
6196,Noboru's Cudgel,29,34
6197,Loch Croc Hide Vest,17,22
6198,Jurassic Wristguards,25,30
6199,Black Widow Band,19,24
6200,Garneg's War Belt,24,29
6201,Lithe Boots,5,10
6202,Fingerless Gloves,6,11
6203,Thuggish Shield,6,11
6204,Tribal Worg Helm,27,32
6205,Burrowing Shovel,10,15
6206,Rock Chipper,10,15
6207,PVP - Horde Tower Plans,0,1
6208,PVP - Alliance Tower Plans,0,1
6209,PVP - Horde Mine Deed,0,1
6210,PVP - Alliance Mine Deed,0,1
6211,Recipe: Elixir of Ogre's Strength,0,30
6212,Head of Jammal'an,0,1
6213,Test Sharpening Stone,5,15
6214,Heavy Copper Maul,11,16
6215,Balanced Fighting Stick,0,13
6216,Mystical Powder,0,5
6217,Copper Rod,0,5
6218,Runed Copper Rod,1,5
6219,Arclight Spanner,0,10
6220,Meteor Shard,20,29
6222,Formula: Imbue Chest - Minor Spirit,0,12
6223,Crest of Darkshire,0,35
6224,Monster - Sword2H, Black Metal Hilt,1,1
6225,Monster - Item, Fish - Blue,1,1
6226,Bloody Apron,18,23
6227,Monster - Item, Fish - Green,1,1
6228,Monster - Item, Fish - Orange,1,1
6229,Monster - Item, Fish - Purple,1,1
6230,Monster - Wand, Basic,1,1
6231,Monster - Wand, Jeweled - Green,1,1
6232,Monster - Item, Flowers  - Boquet Roses,1,1
6233,Monster - Item, Flowers  - Boquet Wildflowers,1,1
6234,Monster - Item, Flower - Long Blue,1,1
6235,Monster - Item, Flower - Rose (Black),1,1
6236,Monster - Item, Flower - Rose (White),1,1
6237,Monster - Item, Flowers  - Boquet Roses (Black),1,1
6238,Brown Linen Robe,5,10
6239,Red Linen Vest,7,12
6240,Blue Linen Vest,7,12
6241,White Linen Robe,5,10
6242,Blue Linen Robe,9,14
6243,Green Woolen Robe,13,18
6245,Karnitol's Satchel,0,1
6246,Hatefury Claw,0,1
6247,Hatefury Horn,0,1
6248,Scorpashi Venom,0,1
6249,Aged Kodo Hide,0,1
6250,Felhound Brain,0,1
6251,Nether Wing,0,1
6252,Doomwarder Blood,0,1
6253,Leftwitch's Package,0,1
6254,Monster - Shield, Ironforge,1,1
6256,Fishing Pole,0,1
6257,Roc Gizzard,0,1
6258,Ironfur Liver,0,1
6259,Groddoc Liver,0,1
6260,Blue Dye,0,10
6261,Orange Dye,0,35
6262,Galen's Journal,0,1
6263,Blue Overalls,15,20
6264,Greater Adept's Robe,18,23
6265,Soul Shard,0,10
6266,Disciple's Vest,8,13
6267,Disciple's Pants,7,12
6268,Pioneer Tunic,8,13
6269,Pioneer Trousers,7,12
6270,Pattern: Blue Linen Vest,0,12
6271,Pattern: Red Linen Vest,0,12
6272,Pattern: Blue Linen Robe,0,14
6280,Musty Missive,0,1
6273,Pattern: Green Woolen Robe,0,18
6274,Pattern: Blue Overalls,0,20
6275,Pattern: Greater Adept's Robe,0,23
6276,Musty Note,0,1
6277,Musty Parchment,0,1
6278,Musty Scroll,0,1
6279,Musty Letter,0,1
6281,Rattlecage Skull,0,1
6282,Sacred Burial Trousers,0,32
6283,The Book of Ur,0,1
6284,Runes of Summoning,0,1
6285,Egalin's Grimoire,0,1
6286,Pure Hearts,0,1
6287,Atal'ai Tablet Fragment,0,1
6288,Atal'ai Tablet,0,1
6289,Raw Longjaw Mud Snapper,5,15
6290,Brilliant Smallfish,1,5
6291,Raw Brilliant Smallfish,1,5
6292,10 Pound Mud Snapper,0,15
6293,Dried Bat Blood,0,1
6294,12 Pound Mud Snapper,0,15
6295,15 Pound Mud Snapper,0,15
6296,Patch of Bat Hair,0,1
6297,Old Skull,0,1
6298,Bloody Bat Fang,0,1
6299,Sickly Looking Fish,1,5
6300,Husk Fragment,0,1
6301,Old Teamster's Skull,0,1
6302,Delicate Insect Wing,0,1
6303,Raw Slitherskin Mackerel,1,5
6304,Damp Diary Page (Day 4),0,1
6305,Damp Diary Page (Day 87),0,1
6306,Damp Diary Page (Day 512),0,1
6307,Message in a Bottle,0,0
6308,Raw Bristle Whisker Catfish,15,25
6309,17 Pound Catfish,0,15
6310,19 Pound Catfish,0,15
6311,22 Pound Catfish,0,15
6312,Dalin's Heart,0,1
6313,Corma's Heart,0,1
6314,Wolfmaster Cape,20,27
6315,Steelarrow Crossbow,22,27
6316,Loch Frenzy Delight,5,15
6317,Raw Loch Frenzy,5,15
6318,Odo's Ley Staff,21,26
6319,Girdle of the Blindwatcher,19,26
6320,Commander's Crest,20,28
6321,Silverlaine's Family Seal,21,26
6322,Monster - Staff, Arugal,1,1
6323,Baron's Scepter,20,25
6324,Robes of Arugal,20,29
6325,Recipe: Brilliant Smallfish,0,5
6326,Recipe: Slitherskin Mackerel,0,5
6327,The Pacifier,32,37
6328,Recipe: Longjaw Mud Snapper,0,15
6336,Infantry Tunic,8,13
6329,Recipe: Loch Frenzy Delight,0,15
6330,Recipe: Bristle Whisker Catfish,0,25
6331,Howling Blade,31,36
6332,Black Pearl Ring,17,22
6333,Spikelash Dagger,17,22
6334,Monster - Mace, Green,1,1
6335,Grizzled Boots,0,29
6337,Infantry Leggings,7,12
6338,Silver Rod,0,20
6339,Runed Silver Rod,1,20
6340,Fenrus' Hide,20,26
6341,Eerie Stable Lantern,14,19
6342,Formula: Enchant Chest - Minor Mana,0,12
6356,Battered Chest,0,8
6343,Formula: Imbue Chest - Spirit,0,14
6344,Formula: Enchant Bracer - Minor Spirit,0,17
6345,Formula: Imbue Cloak - Protection,0,18
6346,Formula: Enchant Chest - Lesser Mana,0,19
6347,Formula: Enchant Bracer - Minor Strength,0,19
6348,Formula: Enchant Weapon - Minor Beastslayer,0,20
6349,Formula: Enchant 2H Weapon - Lesser Intellect,0,20
6350,Rough Bronze Boots,13,18
6351,Dented Crate,0,15
6352,Waterlogged Crate,0,25
6353,Small Chest,0,15
6354,Small Locked Chest,0,20
6355,Sturdy Locked Chest,0,30
6357,Sealed Crate,0,35
6358,Oily Blackmouth,0,15
6359,Firefin Snapper,0,25
6360,Steelscale Crushfish,20,25
6361,Raw Rainbow Fin Albacore,5,15
6362,Raw Rockscale Cod,25,35
6363,26 Pound Catfish,0,25
6364,32 Pound Catfish,0,25
6365,Strong Fishing Pole,5,10
6366,Darkwood Fishing Pole,15,20
6367,Big Iron Fishing Pole,25,30
6368,Recipe: Rainbow Fin Albacore,0,15
6369,Recipe: Rockscale Cod,0,30
6370,Blackmouth Oil,0,15
6371,Fire Oil,0,25
6372,Swim Speed Potion,10,20
6373,Elixir of Firepower,18,28
6374,Enchanted Powder,0,20
6375,Formula: Enchant Bracer - Lesser Spirit,0,24
6376,Formula: Enchant Boots - Minor Stamina,0,25
6377,Formula: Enchant Boots - Minor Agility,0,25
6378,Seer's Cape,12,17
6379,Inscribed Leather Belt,12,17
6380,Inscribed Buckler,13,18
6381,Bright Cloak,18,23
6382,Forest Leather Belt,18,23
6383,Forest Buckler,19,24
6384,Stylish Blue Shirt,0,25
6385,Stylish Green Shirt,0,25
6386,Glimmering Mail Legguards,25,30
6387,Glimmering Mail Bracers,24,29
6388,Glimmering Mail Pauldrons,25,30
6389,Glimmering Mail Coif,26,31
6390,Pattern: Stylish Blue Shirt,0,24
6391,Pattern: Stylish Green Shirt,0,24
6392,Belt of Arugal,20,29
6393,Silver-thread Gloves,23,28
6394,Silver-thread Boots,22,27
6395,Silver-thread Amice,24,29
6396,Emblazoned Chestpiece,27,32
6397,Emblazoned Gloves,24,29
6398,Emblazoned Belt,24,29
6399,Emblazoned Shoulders,25,30
6400,Glimmering Shield,26,31
6401,Pattern: Dark Silk Shirt,0,31
6402,Mail Combat Leggings,31,36
6403,Mail Combat Armguards,28,33
6404,Mail Combat Spaulders,30,35
6405,Nightsky Trousers,31,36
6406,Nightsky Boots,29,34
6407,Nightsky Wristbands,28,33
6408,Insignia Gloves,29,34
6409,Insignia Belt,29,34
6410,Insignia Bracers,28,33
6411,Chief Brigadier Armor,36,41
6412,Chief Brigadier Boots,34,39
6413,Chief Brigadier Bracers,32,37
6414,Seal of Sylvanas,0,29
6415,Aurora Robe,36,41
6416,Aurora Boots,33,38
6417,Aurora Cloak,32,37
6418,Aurora Sash,32,37
6419,Glyphed Mitts,33,38
6420,Glyphed Boots,34,39
6421,Glyphed Belt,33,38
6422,Glyphed Helm,34,39
6423,Blackforge Greaves,40,45
6424,Blackforge Cape,37,42
6425,Blackforge Girdle,39,44
6426,Blackforge Bracers,38,43
6427,Mistscape Robe,41,46
6428,Mistscape Gloves,38,43
6429,Mistscape Wizard Hat,39,44
6430,Imperial Leather Breastplate,41,46
6431,Imperial Leather Boots,38,43
6432,Imperial Cloak,36,41
6433,Imperial Leather Helm,38,43
6434,Monster - Shield, Stromgarde,1,1
6435,Infused Burning Gem,0,1
6436,Burning Gem,0,1
6437,Flayed Demon Skin (old),0,1
6438,Dull Elemental Bracer,0,1
6439,Broken Binding Bracer,0,1
6440,Brainlash,43,48
6441,Shadowstalker Scalp,0,1
6442,Oracle Crystal,0,1
6443,Deviate Hide,0,1
6444,Forked Tongue,0,1
6445,Brittle Molting,0,1
6446,Snakeskin Bag,0,25
6447,Worn Turtle Shell Shield,15,20
6448,Tail Spike,17,22
6449,Glowing Lizardscale Cloak,17,22
6450,Silk Bandage,0,1
6451,Heavy Silk Bandage,0,1
6452,Anti-Venom,0,16
6453,Strong Anti-Venom,0,26
6454,Manual: Strong Anti-Venom,0,26
6455,Old Wagonwheel,0,1
6456,Acidic Slime,0,1
6457,Rusted Engineering Parts,0,1
6458,Oil Covered Fish,5,15
6459,Savage Trodders,18,23
6460,Cobrahn's Grasp,19,24
6461,Slime-encrusted Pads,20,27
6462,Secure Crate,0,1
6463,Deep Fathom Ring,20,26
6464,Wailing Essence,0,1
6465,Robe of the Moccasin,17,22
6466,Deviate Scale Cloak,13,18
6467,Deviate Scale Gloves,16,21
6468,Deviate Scale Belt,18,23
6469,Venomstrike,19,24
6470,Deviate Scale,0,1
6471,Perfect Deviate Scale,0,1
6472,Stinging Viper,19,24
6473,Armor of the Fang,18,23
6474,Pattern: Deviate Scale Cloak,0,18
6475,Pattern: Deviate Scale Gloves,0,21
6476,Pattern: Deviate Scale Belt,0,23
6477,Grassland Sash,0,20
6478,Rat Stompers,0,23
6479,Malem Pendant,0,1
6480,Slick Deviate Leggings,0,20
6481,Dagmire Gauntlets,0,23
6482,Firewalker Boots,0,24
6486,Singed Scale,0,1
6487,Vile Familiar Head,0,1
6488,Simple Tablet,0,1
6489,Weatherworn Parchment,0,1
6490,Dark Parchment,0,1
6491,Heavy Parchment,0,1
6492,Sooty Parchment,0,1
6493,Tattered Parchment,0,1
6494,Scrawled Parchment,0,1
6495,Weatherbeaten Parchment,0,1
6496,Detailed Parchment,0,1
6497,Simple Parchment,0,1
6498,Inscribed Kodo Leather,0,1
6499,Inscribed Kodo Leather,0,1
6500,Inscribed Kodo Leather,0,1
6501,Inscribed Kodo Leather,0,1
6502,Violet Scale Armor,0,22
6503,Harlequin Robes,0,22
6504,Wingblade,0,24
6505,Crescent Staff,0,24
6506,Infantry Boots,6,11
6507,Infantry Bracers,5,10
6508,Infantry Cloak,4,9
6509,Infantry Belt,5,10
6510,Infantry Gauntlets,6,11
6511,Journeyman's Robe,6,11
6512,Disciple's Robe,8,13
6513,Disciple's Sash,5,10
6514,Disciple's Cloak,5,10
6515,Disciple's Gloves,6,11
6516,Imp Summoning Scroll,0,1
6517,Pioneer Belt,5,10
6518,Pioneer Boots,6,11
6519,Pioneer Bracers,5,10
6520,Pioneer Cloak,4,9
6521,Pioneer Gloves,6,11
6522,Deviate Fish,0,15
6523,Buckled Harness,12,17
6524,Studded Leather Harness,17,22
6525,Grunt's Harness,22,27
6526,Battle Harness,32,37
6527,Ancestral Robe,8,13
6528,Spellbinder Robe,12,17
6529,Shiny Bauble,0,10
6530,Nightcrawlers,0,20
6531,Barbaric Cloth Robe,13,18
6532,Bright Baubles,0,30
6533,Aquadynamic Fish Attractor,0,30
6534,Forged Steel Bars,0,1
6535,Tablet of Verga,0,1
6536,Willow Vest,14,19
6537,Willow Boots,10,15
6538,Willow Robe,14,19
6539,Willow Belt,11,16
6540,Willow Pants,13,18
6541,Willow Gloves,11,16
6542,Willow Cape,10,15
6543,Willow Bracers,10,15
6544,Voidwalker Summoning Scroll,0,1
6545,Soldier's Armor,13,18
6546,Soldier's Leggings,12,17
6547,Soldier's Gauntlets,12,17
6548,Soldier's Girdle,11,16
6549,Soldier's Cloak,9,14
6550,Soldier's Wristguards,10,15
6551,Soldier's Boots,12,17
6552,Bard's Tunic,14,19
6553,Bard's Trousers,13,18
6554,Bard's Gloves,12,17
6555,Bard's Cloak,9,14
6556,Bard's Bracers,10,15
6557,Bard's Boots,11,16
6558,Bard's Belt,10,15
6559,Bard's Buckler,11,16
6560,Soldier's Shield,12,17
6561,Seer's Padded Armor,16,21
6562,Shimmering Boots,16,21
6563,Shimmering Bracers,15,20
6564,Shimmering Cloak,16,21
6565,Shimmering Gloves,17,22
6566,Shimmering Amice,19,24
6567,Shimmering Armor,20,25
6568,Shimmering Trousers,19,24
6569,Shimmering Robe,20,25
6570,Shimmering Sash,17,22
6571,Scouting Buckler,17,22
6572,Defender Shield,18,23
6573,Defender Boots,18,23
6574,Defender Bracers,17,22
6575,Defender Cloak,15,20
6576,Defender Girdle,17,22
6577,Defender Gauntlets,18,23
6578,Defender Leggings,18,23
6579,Defender Spaulders,19,24
6580,Defender Tunic,18,23
6581,Scouting Belt,16,21
6582,Scouting Boots,17,22
6583,Scouting Bracers,16,21
6584,Scouting Tunic,20,25
6585,Scouting Cloak,15,20
6586,Scouting Gloves,18,23
6587,Scouting Trousers,19,24
6588,Scouting Spaulders,18,23
6589,Viridian Band,21,26
6590,Battleforge Boots,24,29
6591,Battleforge Wristguards,22,27
6592,Battleforge Armor,24,29
6593,Battleforge Cloak,21,26
6594,Battleforge Girdle,23,28
6595,Battleforge Gauntlets,23,28
6596,Battleforge Legguards,23,28
6597,Battleforge Shoulderguards,23,28
6598,Dervish Buckler,23,28
6599,Battleforge Shield,24,29
6600,Dervish Belt,22,27
6601,Dervish Boots,23,28
6602,Dervish Bracers,22,27
6603,Dervish Tunic,25,30
6604,Dervish Cape,21,26
6605,Dervish Gloves,23,28
6607,Dervish Leggings,25,30
6608,Bright Armor,22,27
6609,Sage's Cloth,27,32
6610,Sage's Robe,27,32
6611,Sage's Sash,24,29
6612,Sage's Boots,23,28
6613,Sage's Bracers,23,28
6614,Sage's Cloak,23,28
6615,Sage's Gloves,24,29
6616,Sage's Pants,27,32
6617,Sage's Mantle,25,30
6618,Monster - Orb,1,1
6619,Manual: The Path of Defense,10,10
6620,Elaborate Parchment,0,1
6621,Manual of Taunt,10,10
6622,Sword of Zeal,58,63
6623,Succubus Summoning Scroll,0,1
6624,Ken'zigla's Draught,0,1
6625,Dirt-caked Pendant,0,1
6626,Dogran's Pendant,0,1
6627,Mutant Scale Breastplate,20,28
6628,Raven's Claws,17,22
6629,Sporid Cape,18,23
6630,Seedcloud Buckler,20,25
6631,Living Root,20,25
6632,Feyscale Cloak,15,20
6633,Butcher's Slicer,18,23
6634,Ritual Salve,0,1
6635,Earth Sapta,0,1
6636,Fire Sapta,0,1
6637,Water Sapta,0,1
6638,Air Sapta,0,1
6639,Deprecated Rough Pebble,0,1
6640,Felstalker Hoof,0,1
6641,Haunting Blade,20,26
6642,Phantom Armor,20,25
6643,Bloated Smallfish,1,5
6644,Bloated Mackerel,1,5
6645,Bloated Mud Snapper,5,15
6646,Bloated Albacore,5,15
6647,Bloated Catfish,15,25
6648,Stoneskin Totem Scroll,0,4
6649,Searing Totem Scroll,0,10
6650,Healing Stream Totem Scroll,0,20
6651,Broken Wine Bottle,7,12
6652,Reagent Pouch,0,1
6653,Torch of the Dormant Flame,0,1
6654,Torch of the Eternal Flame,0,1
6655,Glowing Ember,0,1
6656,Rough Quartz,0,1
6657,Savory Deviate Delight,0,18
6658,Example Collar,0,1
6659,Scarab Trousers,0,20
6660,Julie's Dagger,50,55
6661,Recipe: Savory Deviate Delight,0,18
6662,Elixir of Giant Growth,8,18
6663,Recipe: Elixir of Giant Growth,0,18
6664,Voodoo Mantle,0,26
6665,Hexed Bracers,0,26
6666,Dredge Boots,0,22
6667,Engineer's Cloak,0,27
6668,Draftsman Boots,0,27
6669,Sacred Band,0,25
6670,Panther Armor,0,27
6671,Juggernaut Leggings,0,27
6672,Schematic: Flash Bomb,0,37
6673,Test HP Ring,1,1
6674,Test MP Ring,1,1
6675,Tempered Bracers,0,27
6676,Constable Buckler,0,27
6677,Spellcrafter Wand,0,26
6678,Band of Elven Grace,0,28
6679,Armor Piercer,24,29
6680,Monster - Spear, Sharp Thin,1,1
6681,Thornspike,27,32
6682,Death Speaker Robes,26,31
6683,Tyranis' Pendant (old),0,1
6684,Snufflenose Command Stick,0,1
6685,Death Speaker Mantle,25,30
6686,Tusken Helm,27,33
6687,Corpsemaker,27,34
6688,Whisperwind Headdress,27,32
6689,Wind Spirit Staff,27,32
6690,Ferine Leggings,29,34
6691,Swinetusk Shank,30,35
6692,Pronged Reaver,30,36
6693,Agamaggan's Clutch,27,36
6694,Heart of Agamaggan,27,36
6695,Stygian Bone Amulet,27,32
6696,Nightstalker Bow,27,32
6697,Batwing Mantle,27,32
6698,Stone of Pierce,1,1
6707,Stone of Lapidis,1,1
6708,Stone of Goodman,1,1
6709,Moonglow Vest,13,18
6710,Pattern: Moonglow Vest,0,18
6711,Stone of Kurtz,1,1
6712,Practice Lock,0,20
6713,Ripped Pants,0,5
6714,Ez-Thro Dynamite,10,25
6715,Ruined Jumper Cables,0,33
6716,Schematic: EZ-Thro Dynamite,0,20
6717,Gaffer Jack,0,1
6718,Electropeller,0,1
6719,Windborne Belt,0,30
6720,Spirit Hunter Headdress,0,37
6721,Chestplate of Kor,0,24
6722,Beastial Manacles,0,30
6723,Medal of Courage,0,45
6724,Stone of Backus,1,1
6725,Marbled Buckler,0,36
6726,Razzeric's Customized Seatbelt,0,41
6727,Razzeric's Racing Grips,0,41
6728,Stone of Brownell,1,1
6729,Fizzle's Zippy Lighter,0,38
6730,Ironforge Chain,11,16
6731,Ironforge Breastplate,15,20
6732,Gnomish Mechanic's Gloves,0,38
6733,Ironforge Gauntlets,23,28
6734,Plans: Ironforge Chain,0,16
6735,Plans: Ironforge Breastplate,0,20
6736,Plans: Ironforge Gauntlets,0,28
6737,Dryleaf Pants,0,35
6738,Bleeding Crescent,0,35
6739,Cliffrunner's Aim,0,29
6740,Azure Sash,0,29
6741,Orcish War Sword,0,29
6742,Stonefist Girdle,0,36
6743,Sustaining Ring,0,25
6744,Gloves of Kapelan,0,33
6745,Swiftrunner Cape,0,33
6746,Basalt Buckler,0,40
6747,Enforcer Pauldrons,0,40
6748,Monkey Ring,0,31
6749,Tiger Band,0,31
6750,Snake Hoop,0,31
6751,Mourning Shawl,0,30
6752,Lancer Boots,0,30
6753,Feather Charm,0,1
6754,Large Moneybag,0,15
6755,A Small Container of Gems,0,25
6756,Jewelry Box,0,5
6757,Jaina's Signet Ring,0,38
6766,Flayed Demon Skin (old2),25,25
6767,Tyranis' Pendant,0,1
6773,Gelkis Marauder Chain,0,42
6774,Uthek's Finger,0,42
6775,Tome of Divinity,12,12
6776,Tome of Valor,20,20
6777,Tome of Righteousness,0,20
6778,Tome of Justice,0,30
6779,Tome of Nobility,0,40
6780,Lilac Sash,0,36
6781,Bartleby's Mug,0,1
6782,Marshal Haggard's Badge,0,1
6783,Dead-tooth's Key,0,1
6784,Braced Handguards,0,36
6785,Powers of the Void,0,1
6786,Simple Dress,0,10
6787,White Woolen Dress,17,22
6788,Magram Hunter's Belt,0,42
6789,Ceremonial Centaur Blanket,0,42
6790,Ring of Calm,0,32
6791,Hellion Boots,0,40
6792,Sanguine Pauldrons,0,40
6793,Auric Bracers,0,40
6794,Stormfire Gauntlets,0,40
6795,White Swashbuckler's Shirt,0,32
6796,Red Swashbuckler's Shirt,0,35
6797,Eyepoker,0,37
6798,Blasting Hackbut,0,37
6799,Vejrek's Head,0,1
6800,Umbral Ore,0,1
6801,Baroque Apron,0,40
6802,Sword of Omen,0,44
6803,Prophetic Cane,0,44
6804,Windstorm Hammer,0,34
6805,Horn of Vorlus,0,1
6806,Dancing Flame,0,40
6807,Frog Leg Stew,0,35
6808,Elunite Ore,0,1
6809,Elura's Medallion,0,1
6810,Surena's Choker,0,1
6811,Aquadynamic Fish Lens,0,20
6812,Case of Elunite,0,1
6826,Brilliant Scale,0,1
6827,Box of Supplies,0,40
6828,Visionary Buckler,0,38
6829,Sword of Serenity,0,44
6830,Bonebiter,0,44
6831,Black Menace,0,44
6832,Cloak of Blight,0,42
6833,White Tuxedo Shirt,0,25
6834,Black Tuxedo,0,1
6835,Black Tuxedo Pants,0,23
6836,Dress Shoes,0,1
6837,Wedding Dress,0,1
6838,Scorched Spider Fang,0,1
6839,Charred Horn,0,1
6840,Galvanized Horn,0,1
6841,Vial of Phlogiston,0,1
6842,Furen's Instructions,0,1
6843,Cask of Scalder,0,1
6844,Burning Blood,0,1
6845,Burning Rock,0,1
